,평점,일시,감상평
214,7,2018.01.21 02:02,"소재는 특이한데 전개가 그다지 새로운건아니고 볼만함,제이크 질렌할 연기는 매우좋음"
215,8,2017.12.24 18:31,저 눈빛!! 정말 인물의 성격을 눈빛으로 보여준다
216,9,2017.10.21 19:27,이정도 미치지 않고서 성공을 바라면 안된다.
217,9,2017.10.21 16:01,섬뜻하고 프로페셔널하다 지나치게
218,8,2017.10.12 23:21,아무 기대없이 본 영화인데 ㄷㄷ 함. 주인공이 사이코패스인데  결말은 소시오패스..
219,9,2017.09.24 23:40,저 업계에선 진짜 저런 미친놈들이 우글댈까봐 무섭다.
220,9,2017.09.14 18:47,연기인걸 알면서도 주인공이 참 재수가 없었다.
221,8,2017.09.09 21:53,하..미친 소시오패스
222,10,2017.08.31 05:31,소시오패스~~반사회적 인격장애자!   심리묘사 연기~~소름!사회의 안좋은 이면들을  보여주는 대작!우리 주위에 소리소문없이 스며들고있다~~이런사람들이...경계하라!가장 가까운곳에 있으니!
223,9,2017.08.27 04:01,소름끼치는 주인공이 실존할 것 같아서 더 소름끼쳤던 영화
224,10,2017.08.24 08:01,와~~보면서..와~소리만몇번을했는지모르겠다..저게진짜가능할까? 사람의욕심은 끝이없구나.너무나충격적이고스릴넘치는 영화였다
225,10,2017.08.19 12:26,이영화 상을 많이받았을듯.. 기대없이봤는데
226,8,2017.08.15 16:27,매번  느끼는 거지만 질렌할의 연기는 항상 상상 그이상을 보여준다!!
227,10,2017.08.15 05:46,자극적인 정보보다  그 정보의 숨겨진 진실과 사실은 무엇인지? 부분의 내용으로 판단하거나 중요한 내용은 빠뜨린채 자극적인 다른 무언가에 집중하고 있는것은 아닌지? 자본주의 언론에 대한 비판. 8점정도의 가치가 있는 영화. 평점업을 위해 10점드립니다. 
228,8,2017.07.03 23:32,부의 획득과 성공에 대한 욕망이 인간에 대한 배려 보다 클 때 어떤 일이 벌어지는 지 블랙 코미디로 보여 줌. 인간미가 좀 떨어지지만 논리적인 주인공의 언변에 감탄하게 됨.
229,8,2017.06.25 01:20,"아쉬운 점 두가지. 니나와의 관계가 중반까지는 아주 좋은데, 그 이후가 얼버무려지듯 끝나버려서 아쉬움. 두번째는 결말, 어떤 실마리를 통해 결국은 덜미를 잡히는 쪽으로 막을 내렸으면 더 좋았을 것 같다. 클라이막스까진 좋았는데, 결말이 단순한 성공.. "
230,7,2017.06.25 00:07,"나사빠진 사회부적응자가 성공하는 법, 이런 인간이 성공하도록 만들어주는 사회 역시 공포"
231,10,2017.06.20 02:06,"어쩌면 이 사회는 능력주의 사회라는 그럴싸한 이름으로 루이스처럼 잔혹한 사이코 패스같은 인간을 원하고 있을지도 모른다.  그는 단지, 자신의 가치를 증명하며 살아남으려고 발버둥 치는 한 인간일 뿐일지도."
232,9,2017.06.15 23:42,소시오패스의 정석. 아무리 좋은 각본도 이만한 배우없이는 불가능 했을것.
233,10,2017.06.08 13:34,'완벽'한 연기란 이런 것일까....최고.
234,8,2017.06.08 06:11,권선징악? 그게 뭔데?
235,8,2017.06.01 13:47,"꽤 볼만한 영화임. 초반부에는 좀 지루하다가 중, 후반부에는 몰입감있음. 제이크 질렌할의 싸이코 연기도 압권."
236,10,2017.05.18 05:55,알바는 희생양이다 ㅠㅠ
237,9,2017.03.25 19:06,영화가 시작할때부터 끝날때까지 일관되게 또라이눈빛을 보여주는 제이크는 미쳤어 연기천재임
238,7,2017.03.24 15:14,"취업이 안되니, 어떻게든 먹고 살고자 자영업으로 죽어라 노력하는 우리네의 모습과 많이 닮아 있다."
239,10,2017.03.09 09:52,제이크 질렌할의 소름끼치는 명연기에 박수를 보낸다!!
240,10,2017.02.19 01:15,자신의 목적을 달성하기 위해서 그 어떤 수단과 방법을 가리지않는 제이크 질렌할의 싸이코패스 연기
241,9,2017.01.29 14:01,영화 보는 내내 청와대 전 민정수석 우모씨가 머리속을 떠나질 않았다. 제이크 질렌한 연기 소름...
242,10,2017.01.28 23:08,처음접해보는 신선한 소재라 놀랐고 제이크 질렌할의 연기에 한번더 놀란 영화. 초반에는 약간 지루할수 있으나 중후반부에로 갈수록 점점빠저든다. 약간 섬뜩할수도 있는 내용의영화.
243,8,2017.01.25 03:54,일단 붕어들은 보지말길 비추~~~ 내용은 똑똑하지만 정신적으로 피폐한  범죄자의 자수성가기.  인생 발로뛰며 돈버는건 좋지만 그이면엔 역시나.. 도덕적 해이와 법의 빛과 그늘이 존재..
244,10,2017.01.09 19:00,자본주의 사회 속 소시오패스가 얼마나 무서운 지 또 왜 성공하는 사람들 중에 사이코패스적 성격이 있는 사람이 많은지 제대로 보여준 것 같다. 똑똑하면서 타인에 대한 공감능력이 없으면 이렇게 무섭구나 싶었다. 경찰관들하고 파트너는 뭔 죄야.. 
245,10,2017.01.08 03:03,성공을 추구하는 사이코패스의 광기
246,10,2017.01.04 05:44,남주 진짜 싸이코패스가 아닌가 싶을정도로 소름돋게 연기 잘한다
247,10,2017.01.01 05:11,사이코패스보다 더 사이코패스같은 제이크 질렌할의 미친 연기가 보는 내내 집중하게 만든다
248,10,2016.12.19 03:42,한국 상업영화 소재의 주를 이루는 '권선징악'이라는 타이틀을 가볍게 깨부순 영화.
249,9,2016.12.08 03:02,특종을 위한 욕망의 프리랜서 기자 질렌할의  연기력을 볼 수 있는 영화다. 연기력과 신선한 시나리오의 결합은 수작이상의 평이라 생각된다. 추천!!
250,10,2016.11.26 12:19,"일적으로 성공 하려면 감정을 통제, 적어도 자제는 해야한다고 생각했는데 저정도로 결여되어야 하는건가..."
251,10,2016.11.01 22:38,제이크 연기...대박 ㅠㅠ 처음부터 끝까지 왠지 모르게 불안불안 했음..눈빛 하나로 극을 이끌어간다
252,10,2016.10.02 18:55,제이크질렌할 너무좋다.
253,9,2016.09.17 20:08,주인공이 로켓보이로 감동적 연기를 했던 앳된 소년이었던 옥토버 스카이 주인공과 동일인물이라는 걸 알고 깜놀했다.
254,8,2016.09.04 20:16,냉혈한 또라이; 질렌할 영화도 재밌게 본거 참 많은듯ㄷ
255,9,2016.09.01 15:50,마이클질렌할이 연기한 루이스블롬은 절대! 만나면 안돼는 비열한 인간이다. 이영화는 감독 댄길로이의 최고의 역작이 아닌가 싶다.
256,10,2016.08.28 00:43,"사건이 없다면  사건을  만들면 되지 않는가, 그래서 주인공이 범죄극을 벌여서 엔딩에서 살인범으로  체포되는 내용인중알았는데"
257,9,2016.08.22 10:29,찝찝하고 섬뜩한 광기 그리고 질렌할의 연기
258,9,2016.08.09 12:59,자칫잘못되기쉬운인간의나약 그나약함이낳는극악무도의아이러니 아이러니를만드는사회 그렇게돌고도는악순환 평이좀확대됐지만그런걸느꼈다
259,10,2016.07.25 16:14,캬 연기 오졌고 스릴 지렷고 간만에 재밌게 봤음
260,10,2016.07.07 23:29,정말 재미있게 봤어요. 진짜 캐릭터인줄로 착각할 정도로..
261,9,2016.06.20 00:19,제이크 질렌할의 작품 선구안은 항상 놀랍다.
262,10,2016.06.19 00:26,재밌다재밌다재밌다재밌다재밌다재밌다재밌다
263,10,2016.06.01 23:45,"미친 몰입감, 미친 연기력"
264,10,2016.05.21 16:29,질렌할에게 잠재된 괴물을 제대로 목격했다.
265,8,2016.04.17 01:51,연기력이  대단함  미처알지 못한  직업에 대한 사실
266,10,2016.03.26 04:37,범죄자의 사업 확장기 남주 사이코패스 연기 압도적이네요
267,9,2016.02.24 02:57,와....무서운장면 없이 무서운영화란 이런것. 소오오름...
268,10,2016.02.14 16:03,스릴 최고. 긴박감 재미 심장 두근
269,10,2016.02.14 15:52,오래전 봤지만 .. 정말 강렬한 연기가 최고였던 기억.. 굿
270,8,2016.02.13 00:07,윤리위원회도 없나? 일반적으로는 저런사람은 매장되서 망하고 질책받을텐데.. 물론 영화가 말하고자한는 뜻은 알겠다 정말 돈이고 성공이면 뭐든지 하는세상 ...
271,10,2016.02.03 12:32,영화관만 가면 주무시던 우리 아버지도 깨어계셨던 영화.제이크 질렌할의 연기력은 이제 무시못할 수준임을 확인했다.
272,7,2016.01.07 00:51,입밖으로 정말 욕 나올뻔.. 질리도록 역겨운 영화
273,6,2015.11.09 01:11,주인공이 뭐가 잘못된건지 모르는 사람이 분명히 있을것같아...특히 이 나라엔...
274,6,2015.10.14 20:45,특종에 대한 광기가 제이크 질렌할의 연기로 잘 전달되었다. 다만 그 이상의 무엇은 찾을 수 없었다.
275,9,2015.08.16 16:08,하 .. 약빨고 영화 찍었네요 소름 돋는 연기력이네오ㅓ
276,7,2015.03.15 21:39,텅빈 눈동자가 그의 카메라 렌즈의 실체를 대변한다
277,7,2015.03.14 13:19,조금 과장되기는 했으나  방송의 진면목을 보여주었음
278,8,2015.03.09 21:47,제이크 질할렌 때문에 봤는데 역시 연기 훌륭하네요. 영화는 볼만한 정도
279,8,2015.03.07 15:27,무시무시하구만. 제이크 질렌홀.
280,7,2015.03.06 13:10,스토리는 취향이 아니었지만 제이크질렌할 연기가 소름돋았다. 희번뜩이는 눈이 참 무섭더라
281,10,2015.03.03 18:26,질렌한 !! 미친 연기력~
282,9,2015.03.03 14:58,기대없이 갔는데 흥미진진하게 정말 재밌게 보고 왔어요^^질렌할의 눈빛 연기는 가히 최고네요ㄷㄷ
283,8,2015.03.03 02:47,긴장감도 좋고... 주인공 연기도 수준급...
284,8,2015.03.02 23:16,제이크 질렌할의 연기는 정말...ㄷㄷ
285,10,2015.03.02 23:15,제이크질렌할의 소름끼치는 연기에 보고 나서도 여운이 가시질 않는다. 브로크백마운틴 이후 최고의 연기다.
286,7,2015.03.02 21:39,제이크질렌할의 왕눈이 눈빛과 폭포수같은 대사가 단연 돋보인다..^&^
287,10,2015.03.02 20:59,상반기 최고의 영화.질레한어 폭풍몰입도.
288,8,2015.03.02 15:59,"제이크 질렌할의 욕심가득, 살기가 넘치는 연기는 실제 범죄자를 조는 착각이 들 정도였으며  돈벌이를 위해 앞뒤 가리지 않는 삶의 방식이  영화속의 이야기만이 아닌가 싶다. 마지막 엔딩이 조금은 아쉽기만 한 이유는 주연배우가 너무 사악해서가 아닐까? "
289,8,2015.03.02 13:31,"자극, 그 이상을 원하는 인간들의 집단적 광기"
290,10,2015.03.02 12:01,보는 내내 긴장감 만빵! 재밌었어요
291,10,2015.03.02 09:26,무섭지 안으면서도 무섭게 만드는 영화 지금 우리 사회가 가지고 있는 무서움일 수도 있을 것 같다
292,9,2015.03.02 03:23,제이크 질렌할의 동공연기에 영화시간이 빨려들어갔다.
293,8,2015.03.02 00:58,재미있고 흥미진진한 영화. 뭐 저런 놈이 다있냐ㄷㄷ;;
294,9,2015.03.01 22:24,제이크 질렌할의 소름끼치는 연기가 영화에 집중할수밖에 없게 하네요~ 내용이 자극적이지만 있을것같은일이라 더 몰입했어요 근데 제이크 질렌할 소스코드나왔을땐 좀 멋있었는데 여긴선 아쉬웠음;; 연기는 완전최고!!
295,10,2015.03.01 22:22,소름돋는 주인공의 연기력
296,9,2018.09.10 17:39,"하루에 영화 2편씩 보고있는데 몰입감 쩌는 영화였다ㅋㅋ 시카리오 암살자의 도시, 베이비드라이버, 세븐 추천함"
297,10,2018.02.17 20:41,완벽히 소시오패스관점의 영화임 죽은 시체를 앵글에 담기위해 직접 옮기고 촬영하는 순간의 bgm도 희망찬 느낌의 음악임 그래서 더 새로웠고 전통으로 소시오패스적 느낌을 받을수 있달까...
298,9,2017.03.21 22:08,ㅋㅋㅋ보고나면 기분더러워지는 영화 탑쓰리안에 드는듯
299,10,2017.03.02 02:49,이 영화가 평점이 왤케 낮아 9점 주려다 10점 줌
300,10,2016.08.08 21:27,다수의 성실한 노동자만 고생하고 대기업 국회의원 전직대통령 같은 주인공
301,8,2015.03.02 22:50,개인적인 협상~~~~!!!
302,9,2015.03.02 21:56,김민교가 보고배워야할 눈빛연기
303,10,2015.03.01 02:39,재미있었어요 제이크 질렌할. 굿
304,8,2015.02.28 20:48,영화관에선 간헐적으로 웃음이 흘러나왔다
305,9,2015.02.28 18:14,몰입력 최고입니다.  좋은 영화네요.
306,9,2015.02.28 15:23,제이크...정말 노력하는 배우일쎄~~
307,8,2015.02.28 01:55,딱히 잔인한 장면없는데 갈수록 긴장되고 결국 소름의 경지에 도달함.
308,10,2015.02.27 20:25,앤드오브왓치에서부터 이미 제이크는 전설이 시작되었다.
309,10,2015.02.26 23:37,주인공 눈빛에 서린 똘끼에 지림. .
310,8,2015.02.26 22:16,갈수록 긴장감 쩌네요~ 제이크 연기가 대박
311,10,2018.04.14 02:34,평점 왜 이러냐 이런게 영화지
312,5,2017.08.17 22:19,노홍철이랑 똑같이 생김
313,8,2015.03.01 16:56,"나를 찾아줘의  남자버전,,   왜 청불인지는 이해불가 ㅡㅡ;"
314,7,2015.03.01 01:51,아무리 최악이라고 한들 반성도 하지 않거늘
315,10,2015.02.26 16:20,제이크  질렌할 진짜 소시오패스인줄 ㄷㄷ 실감나는 연기떔에 빠져서 봤음 지릴거 같은 스릴러임!!!!
316,10,2015.02.26 16:18,진짜 소름돋는제이크 질렌할..
317,7,2015.02.26 13:40,죽음앞에 예의없다.현대사회의 면모를 캐치해서 보여주는.나살기위해 저지르는.
318,9,2015.02.26 18:11,오랜만에 제대로된 사이코를 접했다
319,7,2015.02.28 10:10,"연기 좋아요. 클리셰 난무하고, 연출이 직접적인데 의도한 듯 하지만 아쉽네요."
320,10,2015.02.26 16:04,질렌할 연기 쩔어~~~~
321,10,2015.02.26 15:55,올해 최고의 영화 영화 제이크 연기 쩔어
322,10,2015.02.26 08:18,박평식 평 믿고보면 후회 없을듯합니다 ..특종을위한 완벽한 조작  당신이 본 뉴스는 진실인가??  지금 우리에게 던지는 질문 같습니다
323,9,2015.02.28 21:53,다크나이트의 조커를 보는듯 했다
324,8,2015.02.26 21:42,9점 줄려고 했는데 ost때문에 8점.  Ost가 영화와 전혀 맞질 않았음.
325,10,2015.02.26 19:51,스릴 넘치고 잼있어요~
326,10,2015.02.26 16:06,끝날때까지 긴장감을 놓칠 수 없었네요. 제이크질렌할 연기가 장난아님. 이런 역할이 잘 어울릴지 상상도 못했음.
327,8,2015.12.09 23:50,나쁘지 않으나 평점이 지나치게 높다
328,10,2020.06.09 18:57,"다시봐도 지루할 틈이 없고 스릴 넘치는 영화. 자극적인 것만 추구하는 언론이나 유튜브, 그리고 자기 이익을 위해서는 무슨짓이든 하는 주변에서 흔히 볼수 있는 사람을 잘 비판했다."
329,7,2020.06.01 03:40,네이버 평점 보고 선택. 중반까지는 지루했으나 그 이후부터는 긴장감이 있었다. 스릴러 취향 아닌 입장에서는 보는 내내 불편한 심기가 유지됨. 킬링타임 이상의 잘 만든 영화이지만 호불호가 좀 갈릴 것 같다.
330,10,2020.05.30 22:53,"영화를 보기전엔 그냥 또라이이야기인줄 알았는데 끝나고 곱씹어보니 우리들의 이야기였다. 뉴스디렉터, 부하직원, 라이벌나이트크롤러 모두가 일에 미쳐서 가장 중요시해야하는 가치를 저버렸다. 도덕적 윤리적가치는 뒤로한채 직업적성공만을 향해 달려가는 소시오패스들의 이야기. 부하직원은 그나마 도덕적 윤리적 가치를 우선시 했으나 그것도 결국은 자신의 안위와 금전적보상을 향한 갈망에서 나온 것이었다 우리들은 과연 소시오패스가 아니라고 말할수있는가. 사회가 허용하는 범위내라면 성공을 위해 무엇이든 해도 되는것인가. "
331,8,2020.05.30 05:37,질렌할 이미지가 좀.. 순둥한 배우인줄 알고 봤는데요 편견이였네요.. 이렇게 쏘패연기를 잘 하는줄 몰랐어요..자본주의의 장단점 잘 느껴봤습니다
332,10,2020.05.25 15:47,좋은 영화 9점이상 줘야하는데 평점낮아서 올립니다~
333,9,2020.05.24 00:48,사이코패스 연기 최고 보는내내 불편한 긴장감
334,6,2020.05.23 22:26,웬만하면 자영업 창업은 하지 마세요.망가집니다~~
335,8,2020.05.18 23:15,찌질한놈 한심한놈 싸이코 같은놈 노동청 고발될놈..아 영화였지..연기를 역시 잘하네~
336,10,2020.05.05 20:55,최근 본 영화중에서는 최고네요
337,10,2020.05.01 09:54,질렌할의 연기는 진짜 명불허전이다.
338,7,2020.04.19 23:07,자본주의 자체가 양육강식의 삶이고 그것을 너무 적나라하게 보여주는 소름돋고 무서운 영화
339,8,2020.04.14 13:22,"성공으로 포장된 광기의 피카레스크. 카메라 렌즈로 여과된 현대사회는, 악(惡)을 잉태한 요람과도 진배없다."
340,10,2020.04.05 18:53,자극적인 맛에 중독되면 더 큰 자극을 원할 수밖에
341,6,2020.04.05 13:52,열의는 대단하지만 그 과정은 섬뜩하기 그지없다.
342,8,2020.03.24 08:59,제이크질렌홀은 역시 실망을 안 시키네요. 연출도 꽤 쫄깃하고.
343,8,2020.03.16 23:20,소시오패스에 대한 동경이 무너지다.
344,10,2020.03.14 17:39,
345,10,2019.11.10 16:52,
346,8,2019.11.10 00:44,
347,8,2019.10.05 01:20,결과를 위한다면 무엇이든 못하리
348,8,2019.09.29 10:33,뭐 이런 또라이가 다있냐하고 보는데..결말도 예상외네.. ㄷ
349,8,2019.08.25 20:59,병적인 광기를 잘 보여주는 영화.
350,10,2019.07.29 09:02,자영업을 단기간에 성공시키는 법
351,10,2019.07.13 23:39,내가 바라던 결말이 아니라서 10점ㅋㅋㅋ제이크질렌할 원맨쇼
352,8,2019.06.09 07:09,상당히 좋은내용의 영화인것같네요 준수합니다
353,8,2019.05.25 06:58,뭐 같지만  현실에서 충분히 가능한. 더럽고 추악하다.
354,9,2019.04.12 09:39,화이트칼라 사이코패스를 잘 표현 함. 주인공 자체였음.
355,10,2019.04.07 19:54,"질렌할,소름돋는다."
356,10,2019.04.03 23:14,영화본지 1시간지났는데도 소름이 안가심
357,10,2019.04.03 00:27,오랜만에 보는 수작 스릴러
358,10,2019.03.11 19:52,제이크 연기 미쳤다.. 무섭게 하지 않는데 무서운 사람..
359,10,2019.02.16 23:41,좋다좋아 2시간 순삭했네
360,9,2019.02.10 03:56,비도덕적이지만 똑똑하면 성공한다는 스토리
361,10,2019.02.08 01:39,불편하지만 재밌다. '뉴스'라는 일상적인 소재로 이정도의 스토리를 만들어낸것이 놀라움
362,10,2019.02.01 00:25,대단하네요 초반엔 좀 지루했다가 중반부터 몰입감 대단합니다 하하 끝까지 어떻게 될까 궁금하게 만드네요 정말 잼있게 잘 봤어요 ㅎㅎ
363,9,2019.01.31 00:36,좋다 이런 영화 이런 연기
364,8,2019.01.29 23:38,더한인간들이 많은이세상
365,10,2019.01.25 21:52,최고!  목적을 위해 수단과 방법을 가리지 않고 합리화 하는 현대인들의 이중성을 끄집어 낸 수작!
366,8,2019.01.25 21:49,등장인물들의 연기력을 보는것만으로도 시간이 아깝지 않다. 감독의 캐스팅이 적중했다.
367,10,2019.01.18 14:53,제이크 질렌할 지린달..
368,10,2019.01.06 02:37,잊을 수 없는 질렌할의 눈빛
369,9,2018.12.31 11:51,믿고 보는 제이크질렌할 연기~! 맛이 간 눈빛부터 애는 어떤애다 딱 설명함
370,10,2018.12.30 20:06,"연기력, 영상미, 시나리오 다 좋아용"
371,8,2018.11.29 16:38,한가지에 미쳐 옳고 그름을 볼수 없게된 섬뜩한 나이트 크롤러. 이것이 진정한 프로페셔널리즘인가? 능력있는 소시오페스 일뿐이다. 질렌할 연기력은 최고중 최고.
372,10,2018.11.20 19:08,wasn't that your partner ?
373,10,2018.11.06 15:02,"섬뜩, 혐오 소시오패스"
374,8,2018.11.06 01:05,인간으로써 기본적으로 필요한 양심따위는 너만의 보관함에 잠시 넣어두고 그림이 나오는 좋은 장면을 잡아내기 위해서라면 니 애비&에미의 생간이라도 내다 팔아라.그렇게만 할수 있다면 너는 자본주의사회에서 거대한 성공을 맛보게 될것이다.비디오 뉴스jtbc냐? 
375,9,2018.11.05 23:05,주인공님 연기력  지리구 오집니다.저는굉장히 재미지게 잘 보았습니다. 추천해용~^^
376,8,2018.11.05 23:02,미쳤다 제이크질렌할.나날이 발전 하는듯.
377,10,2018.11.03 22:57,오랜만에 식상한 뻔한 영화가 아닌 재미있는 영화를 봤습니다.이런게 영화죠 평점 8후반 9초반정도가 적정한듯하여10점줍니다
378,8,2018.09.26 04:40,무언가에 미쳐있는 사람을 조심하자
379,10,2018.09.19 02:49,거울을 내리칠 때의 연기가 잊혀지지 않는다. 얼굴 근육 세포 하나하나가 연기 하는 것 같았다.
380,10,2018.09.08 12:24,제이크 질렌할의 연기는 감탄스럽다 영화를 혼자이끌어나갔다고해도 무방함...
381,7,2018.08.29 16:07,주인공 욕하면서 끝까지 본 영화는 오랫만~~
382,8,2018.08.24 07:30,각본 좋고 연기 쩔고 보면서 보고나서 뭔가 찝찝하면서 신기하게도 여러가지 생각을 많이하게됨 여운이 남기도 하는 간만에 잼
383,8,2018.08.07 23:53,영화보는 내내 찝찝하지만.응원하게 되는.나또한 소시오패스가 되게 만드는 영화
384,10,2018.07.30 09:51,배우가 소시오패스를 잘표현했다
385,10,2018.07.28 19:17,사이코패스들의 자기계발서
386,8,2018.07.26 23:06,감정 없으면 누구나 물질적으로 성공할수있어
387,8,2018.07.25 18:44,질렌할 연기 하나만으로 시간 가는줄 모르고 봤네요
388,10,2018.07.14 16:25,타인은 지옥이다 외계인아저씨 닮음ㅋㅋ
389,10,2018.07.12 23:35,제이크 주연이라 본 건데 역시 언제나 기대 이상의 연기를 보여주는 명배우ㅋㅋㅋ언론에 대해 &lt;스포트라이트&gt;와는 정반대의 느낌으로 인상이 깊은 영화였음 그 쪽 일에 관심 많은 사람한테도 추천해주고 싶은 영화! 
390,9,2018.06.21 01:39,진실이 전부는 아니다..이 배우가 소스코드를 연기했던 배우라니 다른사람 같다..
391,10,2018.06.12 04:00,똑똑한 소시오패스가 기회를 잡으면 이렇게 무섭습니다. 제이크 질렌할의 눈풀린 연기가 너무나 강렬하다.
392,9,2018.06.08 03:03,평점제이크 질렌할의 연기가 무시무시한 영화. 본질을 잃은 언론을 소름끼치게 담아냈다
393,8,2018.06.02 22:20,약간의 긴장감 조금 지루할 수 있을듯
394,10,2018.05.23 15:58,질렌할이 이렇게 소름 돋을정도로 연기를 잘하는지 몰랐습니다
395,8,2018.05.15 22:49,제익이 눈빛 연기 진짜... 다른 영화에선 세상 따뜻한 눈빛인데 여기선 진짜 영혼이 없네 인간미가 전혀 없다 ㄷ ㄷ 연기 지린다 진짜
396,9,2018.01.31 00:29,신선하고재밌네요 질렌할의 쩌는연기는 두말하면 입아프고..
397,8,2018.01.26 06:07,우연한 직업이 된 무서움이 결탁된 비인간미의 극치
398,8,2018.01.07 19:43,군주론에 입각한 정말 완벽한 CEO 다
399,7,2018.01.06 23:21,성공을 위한 집착과 광기의 드라마
400,8,2017.12.23 21:01,완벽한 소시오패스 무서운 장면 없이도 엄청난 긴장감
401,8,2017.12.23 13:30,제이크 질렌할 정말 좋아하는 배우라서 기대하고 봤는데 영화 자체는 나쁘지 않은데 장면들마다 깔리는 BGM이 좀 별로였다. 뭔가 이질감이 느껴진달까? 일부러 그런걸 노리는 연출이었는지는 몰라도
402,10,2017.12.22 11:46,돈이 사람까지 삼키는구나
403,10,2017.12.19 20:56,연기 너무 잘한다!!여자분도 질렌할처럼 변해가는 모습이 인상깊었음..마지막에 소시오패스적인 모습에 정말 헉!했다는.. 조수가 불땅해..ㅠㅠ
404,9,2017.12.17 12:54,이 영화가 무서운 이유는 제이크 질렌할의 눈빛에서 '성공하기 위해서라면 어머니라도 팔아넘기리라는' 의지를 볼 수 있기 때문
405,9,2017.12.12 15:41,믿고 보는 질렌할. 이번꺼는 상황에 따른 처세술과 도덕적 윤리가 결여된 소시오패스의 또라이 극치를 보여주네.
406,8,2017.12.10 04:37,아주 역겨운 놈이다. 더럽고 추악하고 간사한 놈. 영화는 뭐 보통에서 조금 더 재밌다.
407,10,2017.11.27 02:32,윤리적 잣대는 필요없다. 자본주의사회에서 오직 성공을위한 협상만이 있을뿐. 협상이 통하지 않을 땐. . .
408,8,2017.11.25 05:58,제이크질렌할 눈엔 똘끼가있다 무섭다쵝오!
409,10,2017.10.24 20:34,영화도 괜찮은 편이지만 제이크질렌할의 연기력이 진짜 엄청남. 눈빛과 긴 대사들 뱉는게 진심 미친사람 같아서 계속 감탄하면서 봄.
410,7,2017.10.17 20:05,주인공의 연기가 다 해먹은 영화
411,9,2017.10.05 02:37,"루란 캐릭터는 보는 사람마저 어둡게 만드는 캐릭터다. 그걸 스토리, 카메라기법이 더욱더 상승시킨다. 보고 난 후 몇 분동안 세상을 아니꼽게 보는 후유증이 생길정도다."
412,10,2017.10.02 21:35,이 영화가 아무 상도 못 받았다고?!
413,9,2017.09.30 21:34,제이크 질레한 이 영화로 아카데미 받았어야해 와우 진짜 숨죽이면서 봤다 그 눈을 잊을 수 없다
414,7,2017.09.22 09:30,소시오패스가 매스 미디어를 만났을 때.
415,8,2017.08.07 10:02,영화가 끝날때까지 권선징악의 전개가 간절했습니다. 공포스럽니다.
416,9,2017.08.04 20:08,후반부에 몰입감이 상당합니다
417,9,2017.07.31 12:41,킬링타임용 굿 눈빛 따라하게됨ㅋㅋㅋ
418,9,2017.07.30 22:40,제이크질렌할 몇키로를 뺀거냐  르네루소 반갑고  .. 줄거리상 팀킬예상했지만  도시의 밤에 가득한 그의 광기어린 눈빛만으로 충분
419,8,2017.07.29 18:22,주인공 또라이같음 연기력은 좋은데
420,10,2017.07.18 23:39,아메리칸 싸이코와는 또 다른 느낌
421,9,2017.07.17 00:20,"지금도 사회에서 뻔뻔하게 살고 있을 이런 소시오패스들이 있을것 같다는 생각이 들어 무서웠고, 진정한 공포는 이런것이 아닌가 싶다. 질렐할 연기가 너무 감명깊었고 좋았다. 스토리도 뻔하지 않게 흥미롭게 잘 진행됐고 분위기 좋고 암튼 아주 좋은 영화였다. "
422,9,2017.07.16 14:32,멋진영화였다...  크리스챤 베일인줄알고봄... ㄲㅋㅋㄲ
423,9,2017.07.14 23:36,제이크 질렌할의 연기가 끝내줌.. 와우..  넘 재밌음
424,10,2017.07.08 01:14,제이크질렌할저나이에 어떤내공을 쌓았길래 저련연기를 하지?연기력하나로 팬이된 배우는 질렌할 하나다
425,10,2017.07.07 11:47,제이크 질렌할의 연기는 최고다. 광기의 루이스 그 자체
426,10,2017.07.03 22:53,사이코패스들이 사회적으로 성공할 확률도 높다더라 ㅋㅋㅋㅋ
427,9,2017.07.03 21:12,오 질렌할 연기 미쳤다때리고 싶을 정도로 또라이 연기를 잘해준 것 같다우리나라의 기레기를 표현한 듯 소재도 참신하고 디테일이 상당하다 질렌할 요새 여기저기서 많이 보이는데 나올때마다 기대되는 배우다
428,9,2017.06.20 21:43,소시오패스의 성공 스토리
429,8,2017.06.07 22:22,성공하는 사람들이 절대 말하지 않는 성공하는 사람들의 성공하는 방법을  다룬 영화
430,10,2017.06.06 17:58,간만에 재밌는영화봤네
431,8,2017.06.02 15:03,제이크 질렌할의 그 소름끼치는 눈빛이 잊혀지지 않는다. 그냥 잘생긴 배우인줄만 알았는데 연기까지 잘하는 잘생긴 배우
432,9,2017.06.01 05:51,제이크 질렌할 대체 당신은...
433,9,2017.05.29 09:17,항상 선이 악을 이기는 영화만 보다가 악이 성공하는 영화를 보니 신선한 느낌이다.
434,8,2017.05.23 19:17,광기어린 연기.. 제이크 질렌할이 현실에선 착한 사람이었으면 좋겠다는 생각이 들 정도
435,10,2017.05.16 09:08,도덕적 자격을 전제하지않은 성공의 추악함.
436,8,2017.05.10 21:12,재밌음. 악해져야만 성공할수있다는걸 보여줌..
437,8,2017.04.26 18:49,질렌할의 연기가 좋았다...역시 방송국놈들...영화나 현실이나...
438,6,2017.04.24 03:29,재밌네 중간중간 따까리랑 차안에서 대화할때  꿀잼 ㄹㅇ ㅋㅋ
439,8,2017.04.22 05:03,연기도 각본도 자극적이다! 하 힘들다.
